Hex,Colour
000000,BLACK
000033,BLUE
000066,BLUE
000099,BLUE
0000cc,BLUE
0000ff,BLUE
003300,GREEN
003333,GREEN
003366,BLUE
003399,BLUE
0033cc,BLUE
0033ff,BLUE
006600,GREEN
006633,GREEN
006666,BLUE
006699,BLUE
0066cc,BLUE
0066ff,BLUE
009900,GREEN
009933,GREEN
009966,GREEN
009999,BLUE
0099cc,BLUE
0099ff,BLUE
00cc00,GREEN
00cc33,GREEN
00cc66,GREEN
00cc99,GREEN
00cccc,BLUE
00ccff,BLUE
00ff00,GREEN
00ff33,GREEN
00ff66,GREEN
00ff99,GREEN
00ffcc,BLUE
00ffff,BLUE
330000,BROWN
330033,PURPLE
330066,PURPLE
330099,BLUE
3300cc,BLUE
3300ff,BLUE
333300,BROWN
333333,BLACK
333366,BLUE
333399,BLUE
3333cc,BLUE
3333ff,BLUE
336600,GREEN
336633,GREEN
336666,GREY/WHITE
336699,BLUE
3366cc,BLUE
3366ff,BLUE
339900,GREEN
339933,GREEN
339966,GREEN
339999,BLUE
3399cc,BLUE
3399ff,BLUE
33cc00,GREEN
33cc33,GREEN
33cc66,GREEN
33cc99,GREEN
33cccc,BLUE
33ccff,BLUE
33ff00,GREEN
33ff33,GREEN
33ff66,GREEN
33ff99,GREEN
33ffcc,GREEN
33ffff,BLUE
660000,BROWN
660033,PURPLE
660066,PURPLE
660099,PURPLE
6600cc,PURPLE
6600ff,PURPLE
663300,BROWN
663333,BROWN
663366,PURPLE
663399,PURPLE
6633cc,PURPLE
6633ff,PURPLE
666600,BROWN
666633,BROWN
666666,GREY/WHITE
666699,BLUE
6666cc,BLUE
6666ff,BLUE
669900,GREEN
669933,GREEN
669966,GREEN
669999,GREY/WHITE
6699cc,BLUE
6699ff,BLUE
66cc00,GREEN
66cc33,GREEN
66cc66,GREEN
66cc99,GREEN
66cccc,BLUE
66ccff,BLUE
66ff00,GREEN
66ff33,GREEN
66ff66,GREEN
66ff99,GREEN
66ffcc,GREEN
66ffff,BLUE
990000,RED
990033,PINK
990066,PURPLE
990099,PURPLE
9900cc,PURPLE
9900ff,PURPLE
993300,BROWN
993333,RED
993366,PURPLE
993399,PURPLE
9933cc,PURPLE
9933ff,PURPLE
996600,BROWN
996633,BROWN
996666,BROWN
996699,PURPLE
9966cc,PURPLE
9966ff,PURPLE
999900,YELLOW
999933,BROWN
999966,GREY/WHITE
999999,GREY/WHITE
9999cc,PURPLE
9999ff,BLUE
99cc00,GREEN
99cc33,GREEN
99cc66,GREEN
99cc99,GREEN
99cccc,BLUE
99ccff,BLUE
99ff00,GREEN
99ff33,GREEN
99ff66,GREEN
99ff99,GREEN
99ffcc,BLUE
99ffff,BLUE
cc0000,RED
cc0033,PINK
cc0066,PINK
cc0099,PURPLE
cc00cc,PURPLE
cc00ff,PURPLE
cc3300,RED
cc3333,RED
cc3366,PINK
cc3399,PINK
cc33cc,PURPLE
cc33ff,PURPLE
cc6600,ORANGE
cc6633,ORANGE
cc6666,PINK
cc6699,PINK
cc66cc,PURPLE
cc66ff,PURPLE
cc9900,BROWN
cc9933,BROWN
cc9966,BROWN
cc9999,PINK
cc99cc,PURPLE
cc99ff,PURPLE
cccc00,YELLOW
cccc33,YELLOW
cccc66,YELLOW
cccc99,GREY/WHITE
cccccc,GREY/WHITE
ccccff,BLUE
ccff00,YELLOW
ccff33,YELLOW
ccff66,YELLOW
ccff99,YELLOW
ccffcc,GREEN
ccffff,GREEN
ff0000,RED
ff0033,RED
ff0066,PINK
ff0099,PINK
ff00cc,PINK
ff00ff,PINK
ff3300,RED
ff3333,RED
ff3366,PINK
ff3399,PINK
ff33cc,PINK
ff33ff,PINK
ff6600,ORANGE
ff6633,ORANGE
ff6666,PINK
ff6699,PINK
ff66cc,PINK
ff66ff,PINK
ff9900,ORANGE
ff9933,ORANGE
ff9966,ORANGE
ff9999,PINK
ff99cc,PINK
ff99ff,PURPLE
ffcc00,YELLOW
ffcc33,YELLOW
ffcc66,YELLOW
ffcc99,ORANGE
ffcccc,PINK
ffccff,PURPLE
ffff00,YELLOW
ffff33,YELLOW
ffff66,YELLOW
ffff99,YELLOW
ffffcc,GREY/WHITE
ffffff,GREY/WHITE
